  
       XFOIL         Version 6.96
  
 Calculated polar for: A18 (original)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   0.500   0.3598   0.02576   0.01521  -0.0812   1.0000   1.0000
   0.750   0.3789   0.02679   0.01620  -0.0814   1.0000   1.0000
   1.000   0.3975   0.02790   0.01729  -0.0817   1.0000   1.0000
   1.250   0.4312   0.02909   0.01847  -0.0848   0.9935   1.0000
   1.500   0.4769   0.03021   0.01962  -0.0900   0.9788   1.0000
   1.750   0.5207   0.03129   0.02075  -0.0946   0.9639   1.0000
   2.000   0.5628   0.03231   0.02188  -0.0987   0.9489   1.0000
   2.250   0.6029   0.03331   0.02298  -0.1023   0.9341   1.0000
   2.500   0.6428   0.03424   0.02405  -0.1057   0.9188   1.0000
   2.750   0.6944   0.03476   0.02479  -0.1103   0.9005   1.0000
   3.000   0.7372   0.03487   0.02510  -0.1126   0.8753   1.0000
   3.250   0.7899   0.03421   0.02471  -0.1152   0.8479   1.0000
   3.500   0.8410   0.03343   0.02427  -0.1173   0.8249   1.0000
   3.750   0.8877   0.03269   0.02388  -0.1186   0.8038   1.0000
   4.000   0.9309   0.03172   0.02330  -0.1187   0.7811   1.0000
   4.250   0.9806   0.02988   0.02186  -0.1184   0.7560   1.0000
   4.500   1.0155   0.02848   0.02080  -0.1157   0.7213   1.0000
   4.750   1.0535   0.02593   0.01850  -0.1112   0.6696   1.0000
   5.000   1.0739   0.02466   0.01720  -0.1053   0.5965   1.0000
   5.250   1.0853   0.02467   0.01680  -0.0991   0.4889   1.0000
   5.500   1.0873   0.02616   0.01728  -0.0930   0.3576   1.0000
   5.750   1.0872   0.02915   0.01900  -0.0883   0.2427   1.0000
   6.000   1.1021   0.03323   0.02227  -0.0858   0.1642   1.0000
   6.250   1.1282   0.03621   0.02509  -0.0846   0.1315   1.0000
   6.500   1.1546   0.03886   0.02764  -0.0840   0.1140   1.0000
   6.750   1.1837   0.04220   0.03137  -0.0832   0.1058   1.0000
   7.000   1.2087   0.04561   0.03483  -0.0826   0.0990   1.0000
   7.250   1.2257   0.04897   0.03887  -0.0805   0.0943   1.0000
   7.500   1.2416   0.05288   0.04329  -0.0786   0.0921   1.0000
   7.750   1.2520   0.05732   0.04829  -0.0762   0.0919   1.0000
   8.000   1.2563   0.06213   0.05368  -0.0736   0.0928   1.0000
   8.250   1.2553   0.06715   0.05922  -0.0708   0.0943   1.0000
   8.500   1.2498   0.07221   0.06471  -0.0682   0.0957   1.0000
   8.750   1.2419   0.07724   0.07007  -0.0657   0.0970   1.0000
   9.000   1.2332   0.08232   0.07540  -0.0637   0.0982   1.0000
   9.250   1.2265   0.08758   0.08087  -0.0621   0.0992   1.0000
   9.500   1.1644   0.09253   0.08624  -0.0592   0.1038   1.0000
   9.750   1.1246   0.09954   0.09341  -0.0610   0.1063   1.0000
  10.000   1.0957   0.10759   0.10152  -0.0649   0.1090   1.0000
  10.250   0.9240   0.10792   0.10207  -0.0523   0.1101   1.0000
  10.500   0.9119   0.11446   0.10861  -0.0540   0.1121   1.0000
  
       XFOIL         Version 6.96
  
 Calculated polar for: A18 (original)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.750  -0.4042   0.09641   0.09149  -0.0261   1.0000   0.0959
  -8.500  -0.4199   0.09533   0.09055  -0.0300   1.0000   0.0980
  -8.250  -0.4233   0.09192   0.08724  -0.0367   1.0000   0.0990
  -8.000  -0.4103   0.08771   0.08299  -0.0271   1.0000   0.1019
  -7.750  -0.4053   0.08515   0.08047  -0.0263   1.0000   0.1072
  -7.500  -0.4016   0.08168   0.07698  -0.0445   1.0000   0.1126
  -7.250  -0.4009   0.07852   0.07394  -0.0313   1.0000   0.1157
  -7.000  -0.3939   0.07588   0.07132  -0.0305   1.0000   0.1214
  -6.750  -0.3813   0.07097   0.06637  -0.0403   1.0000   0.1283
  -6.500  -0.3543   0.06708   0.06222  -0.0520   1.0000   0.1412
  -6.250  -0.3539   0.06361   0.05894  -0.0451   1.0000   0.1428
  -6.000  -0.3474   0.06179   0.05718  -0.0407   1.0000   0.1504
  -5.750  -0.3300   0.05811   0.05344  -0.0436   1.0000   0.1615
  -5.500  -0.2421   0.03879   0.03256  -0.0735   1.0000   0.1123
  -5.250  -0.2110   0.03386   0.02722  -0.0766   1.0000   0.1114
  -5.000  -0.1855   0.03138   0.02457  -0.0776   1.0000   0.1167
  -4.750  -0.1523   0.02821   0.02087  -0.0799   1.0000   0.1185
  -4.500  -0.1206   0.02601   0.01815  -0.0815   1.0000   0.1224
  -4.250  -0.0882   0.02429   0.01578  -0.0827   1.0000   0.1263
  -4.000  -0.0579   0.02272   0.01400  -0.0837   1.0000   0.1295
  -3.750  -0.0299   0.02186   0.01298  -0.0841   1.0000   0.1341
  -3.500  -0.0016   0.02121   0.01204  -0.0844   1.0000   0.1421
  -3.250   0.0255   0.02057   0.01140  -0.0847   1.0000   0.1490
  -3.000   0.0535   0.02000   0.01068  -0.0850   1.0000   0.1570
  -2.750   0.0805   0.01960   0.01029  -0.0853   1.0000   0.1682
  -2.500   0.1070   0.01934   0.01011  -0.0856   1.0000   0.1865
  -2.250   0.1336   0.01914   0.01002  -0.0859   1.0000   0.2143
  -2.000   0.1633   0.01867   0.00984  -0.0869   1.0000   0.2679
  -1.750   0.1906   0.01858   0.01015  -0.0875   1.0000   0.3451
  -1.500   0.2220   0.01842   0.01034  -0.0889   0.9988   0.4421
  -1.250   0.2576   0.01702   0.01039  -0.0897   0.9945   0.8639
  -1.000   0.3048   0.01724   0.01029  -0.0943   0.9837   1.0000
  -0.750   0.3486   0.01747   0.01033  -0.0980   0.9733   1.0000
  -0.500   0.3921   0.01766   0.01038  -0.1014   0.9626   1.0000
  -0.250   0.4361   0.01780   0.01042  -0.1049   0.9528   1.0000
   0.000   0.4811   0.01786   0.01043  -0.1085   0.9438   1.0000
   0.250   0.5194   0.01794   0.01050  -0.1107   0.9321   1.0000
   0.500   0.5585   0.01798   0.01053  -0.1130   0.9210   1.0000
   0.750   0.6031   0.01787   0.01044  -0.1162   0.9123   1.0000
   1.000   0.6462   0.01764   0.01026  -0.1189   0.9018   1.0000
   1.250   0.6857   0.01727   0.00994  -0.1204   0.8884   1.0000
   1.500   0.7241   0.01680   0.00953  -0.1214   0.8741   1.0000
   1.750   0.7595   0.01642   0.00925  -0.1219   0.8595   1.0000
   2.000   0.7931   0.01610   0.00899  -0.1220   0.8444   1.0000
   2.250   0.8243   0.01586   0.00881  -0.1216   0.8279   1.0000
   2.500   0.8518   0.01579   0.00882  -0.1207   0.8088   1.0000
   2.750   0.8805   0.01567   0.00879  -0.1199   0.7897   1.0000
   3.000   0.9084   0.01557   0.00874  -0.1189   0.7692   1.0000
   3.250   0.9344   0.01559   0.00883  -0.1177   0.7461   1.0000
   3.500   0.9603   0.01566   0.00900  -0.1165   0.7225   1.0000
   3.750   0.9846   0.01568   0.00904  -0.1147   0.6915   1.0000
   4.000   1.0079   0.01571   0.00905  -0.1127   0.6543   1.0000
   4.250   1.0302   0.01586   0.00918  -0.1108   0.6122   1.0000
   4.500   1.0504   0.01617   0.00936  -0.1084   0.5562   1.0000
   4.750   1.0658   0.01677   0.00967  -0.1054   0.4575   1.0000
   5.000   1.0769   0.01812   0.01022  -0.1022   0.3198   1.0000
   5.250   1.0860   0.02017   0.01141  -0.0994   0.2162   1.0000
   5.500   1.0933   0.02280   0.01325  -0.0963   0.1141   1.0000
   5.750   1.1051   0.02501   0.01516  -0.0933   0.0814   1.0000
   6.000   1.1208   0.02686   0.01694  -0.0912   0.0690   1.0000
   6.250   1.1388   0.02915   0.01908  -0.0896   0.0615   1.0000
   6.500   1.1633   0.03108   0.02120  -0.0885   0.0576   1.0000
   6.750   1.1883   0.03326   0.02351  -0.0877   0.0540   1.0000
   7.000   1.2143   0.03701   0.02716  -0.0877   0.0498   1.0000
   7.250   1.2358   0.03917   0.02977  -0.0862   0.0484   1.0000
   7.500   1.2561   0.04237   0.03342  -0.0846   0.0479   1.0000
   7.750   1.2724   0.04604   0.03761  -0.0827   0.0479   1.0000
   8.000   1.2845   0.05022   0.04226  -0.0804   0.0483   1.0000
   8.250   1.2929   0.05492   0.04737  -0.0781   0.0490   1.0000
   8.500   1.2971   0.05974   0.05259  -0.0756   0.0493   1.0000
   8.750   1.2989   0.06508   0.05826  -0.0732   0.0497   1.0000
   9.000   1.2996   0.06922   0.06276  -0.0705   0.0501   1.0000
   9.250   1.2537   0.07395   0.06860  -0.0627   0.0564   1.0000
   9.500   1.2316   0.07843   0.07332  -0.0592   0.0579   1.0000
   9.750   1.2122   0.08308   0.07812  -0.0569   0.0592   1.0000
  10.000   1.1983   0.08820   0.08335  -0.0558   0.0603   1.0000
  10.250   1.0426   0.08493   0.08044  -0.0415   0.0588   1.0000
  10.500   1.0114   0.09123   0.08683  -0.0427   0.0593   1.0000
  
       XFOIL         Version 6.96
  
 Calculated polar for: A18 (original)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.500  -0.4122   0.08816   0.08474  -0.0260   1.0000   0.0519
  -8.250  -0.4158   0.08549   0.08213  -0.0263   1.0000   0.0535
  -8.000  -0.4189   0.08229   0.07899  -0.0297   1.0000   0.0561
  -7.750  -0.4124   0.07714   0.07385  -0.0414   1.0000   0.0576
  -7.500  -0.4001   0.07155   0.06820  -0.0483   1.0000   0.0579
  -7.250  -0.4075   0.06823   0.06499  -0.0419   1.0000   0.0596
  -7.000  -0.4011   0.06638   0.06313  -0.0395   1.0000   0.0610
  -6.750  -0.3573   0.04329   0.03945  -0.0664   1.0000   0.0448
  -6.500  -0.3167   0.03147   0.02646  -0.0777   1.0000   0.0457
  -6.250  -0.2968   0.02963   0.02474  -0.0783   1.0000   0.0498
  -6.000  -0.2653   0.02580   0.02028  -0.0809   1.0000   0.0542
  -5.750  -0.2336   0.02270   0.01651  -0.0830   1.0000   0.0605
  -5.500  -0.2104   0.02225   0.01604  -0.0827   1.0000   0.0657
  -5.250  -0.1830   0.02161   0.01492  -0.0828   1.0000   0.0710
  -5.000  -0.1527   0.01976   0.01293  -0.0842   1.0000   0.0763
  -4.750  -0.1263   0.01923   0.01222  -0.0843   1.0000   0.0812
  -4.500  -0.0858   0.01836   0.01098  -0.0869   0.9973   0.0844
  -4.250  -0.0460   0.01717   0.00973  -0.0897   0.9953   0.0897
  -4.000  -0.0062   0.01652   0.00894  -0.0922   0.9921   0.0939
  -3.750   0.0336   0.01597   0.00825  -0.0946   0.9882   0.0981
  -3.500   0.0741   0.01526   0.00758  -0.0974   0.9854   0.1044
  -3.250   0.1142   0.01491   0.00717  -0.1000   0.9820   0.1131
  -3.000   0.1511   0.01442   0.00677  -0.1020   0.9768   0.1239
  -2.750   0.1916   0.01394   0.00639  -0.1047   0.9732   0.1436
  -2.500   0.2341   0.01342   0.00613  -0.1080   0.9706   0.1975
  -2.250   0.2687   0.01306   0.00597  -0.1096   0.9632   0.2583
  -2.000   0.3097   0.01264   0.00586  -0.1125   0.9592   0.3288
  -1.750   0.3494   0.01229   0.00571  -0.1150   0.9540   0.4060
  -1.500   0.3868   0.01171   0.00560  -0.1171   0.9478   0.5153
  -1.250   0.4184   0.01039   0.00536  -0.1170   0.9439   1.0000
  -1.000   0.4520   0.01031   0.00518  -0.1180   0.9352   1.0000
  -0.750   0.4906   0.01013   0.00492  -0.1200   0.9298   1.0000
  -0.500   0.5224   0.01002   0.00476  -0.1204   0.9195   1.0000
  -0.250   0.5557   0.00987   0.00456  -0.1212   0.9102   1.0000
   0.000   0.5885   0.00967   0.00432  -0.1217   0.8996   1.0000
   0.250   0.6174   0.00954   0.00414  -0.1213   0.8845   1.0000
   0.500   0.6453   0.00946   0.00402  -0.1207   0.8679   1.0000
   0.750   0.6731   0.00943   0.00397  -0.1202   0.8513   1.0000
   1.000   0.7007   0.00944   0.00393  -0.1197   0.8339   1.0000
   1.250   0.7282   0.00947   0.00391  -0.1192   0.8160   1.0000
   1.500   0.7552   0.00956   0.00397  -0.1186   0.7965   1.0000
   1.750   0.7819   0.00967   0.00404  -0.1181   0.7760   1.0000
   2.000   0.8086   0.00981   0.00412  -0.1175   0.7553   1.0000
   2.250   0.8349   0.00998   0.00426  -0.1169   0.7336   1.0000
   2.500   0.8613   0.01018   0.00442  -0.1163   0.7124   1.0000
   2.750   0.8871   0.01038   0.00459  -0.1157   0.6874   1.0000
   3.000   0.9123   0.01059   0.00475  -0.1148   0.6578   1.0000
   3.250   0.9367   0.01085   0.00491  -0.1139   0.6223   1.0000
   3.500   0.9610   0.01116   0.00514  -0.1130   0.5871   1.0000
   3.750   0.9844   0.01157   0.00541  -0.1119   0.5469   1.0000
   4.000   1.0065   0.01207   0.00572  -0.1107   0.4893   1.0000
   4.250   1.0245   0.01292   0.00607  -0.1088   0.3986   1.0000
   4.500   1.0407   0.01416   0.00669  -0.1071   0.2661   1.0000
   4.750   1.0592   0.01532   0.00750  -0.1058   0.2055   1.0000
   5.000   1.0792   0.01633   0.00826  -0.1047   0.1525   1.0000
   5.250   1.0915   0.01847   0.00968  -0.1024   0.0562   1.0000
   5.500   1.1095   0.01984   0.01105  -0.1005   0.0441   1.0000
   5.750   1.1245   0.02151   0.01272  -0.0984   0.0387   1.0000
   6.000   1.1455   0.02242   0.01376  -0.0971   0.0351   1.0000
   6.250   1.1645   0.02359   0.01498  -0.0956   0.0322   1.0000
   6.500   1.1818   0.02529   0.01669  -0.0939   0.0303   1.0000
   6.750   1.2011   0.02803   0.01948  -0.0925   0.0290   1.0000
   7.000   1.2239   0.02975   0.02138  -0.0914   0.0284   1.0000
   7.250   1.2459   0.03139   0.02324  -0.0903   0.0272   1.0000
   7.500   1.2666   0.03312   0.02521  -0.0891   0.0257   1.0000
   7.750   1.2866   0.03565   0.02803  -0.0877   0.0252   1.0000
   8.000   1.3038   0.03877   0.03153  -0.0859   0.0252   1.0000
   8.250   1.3162   0.04256   0.03579  -0.0835   0.0256   1.0000
   8.500   1.3228   0.04698   0.04069  -0.0805   0.0265   1.0000
   8.750   1.3238   0.05181   0.04595  -0.0773   0.0276   1.0000
   9.000   1.3349   0.05695   0.05125  -0.0756   0.0299   1.0000
  13.000   0.7911   0.16026   0.15727  -0.0786   0.0589   1.0000
  13.250   0.7855   0.16428   0.16129  -0.0806   0.0566   1.0000
